"AAME",3.78,"10/14/2016","10:06am",+0.20,3.56,3.78,3.76,1116
"AAVL",4.14,"5/11/2016","4:00pm",+0.00,N/A,N/A,N/A,0
"AAWW",41.26,"10/14/2016","4:00pm",-0.38,41.75,42.37,41.20,107873
"TCBIW",38.56,"9/28/2016","2:09pm",+0.00,N/A,N/A,N/A,0
"TFSCU",9.05,"7/14/2016","11:39am",+0.00,N/A,N/A,N/A,0
"TROVW",1.31,"10/11/2016","11:42am",+0.00,1.30,N/A,N/A,30
"TRTLW",0.1825,"10/13/2016","3:39pm",+0.0000,N/A,N/A,N/A,42
"USATP",19.995,"10/13/2016","10:40am",+0.000,N/A,N/A,N/A,0
"VNRBP",4.9978,"10/14/2016","3:59pm",+0.6178,4.6100,5.2000,4.6000,453097
"VNRCP",4.96,"10/14/2016","3:59pm",+0.64,4.46,5.10,4.46,234801
"WAFDW",9.50,"10/12/2016","11:17am",+0.00,N/A,N/A,N/A,1
"WHLRP",21.67,"10/14/2016","11:32am",-0.00,N/A,21.77,21.61,540
"WHLRW",0.08,"10/14/2016","3:58pm",+0.00,0.05,0.08,0.05,249
"WLRHU",9.99,"6/9/2016","3:59pm",+0.00,N/A,N/A,N/A,0